Opportunity Number,Supplies Subgroup,Supplies Group,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Deal Size Category,Lat,Lon,Country_Code,Country
8533128,Replacement Parts,Car Accessories,Loss,5,8,8,7442,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
8533145,Replacement Parts,Car Accessories,Loss,2,17,17,232522,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
8535283,Batteries & Accessories,Car Accessories,Loss,2,24,24,232522,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
8536902,Motorcycle Parts,Performance & Non-auto,Loss,3,11,11,93008,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
8537062,Garage & Car Care,Car Accessories,Loss,2,3,3,122771,1,1,1,Unknown,5,-24.367114,-68.730469,3,Chile
8538547,Motorcycle Parts,Performance & Non-auto,Loss,4,2,2,1800,1,1,0,None,1,-24.367114,-68.730469,3,Chile
8539010,Interior Accessories,Car Accessories,Won,3,7,7,119271,1,1,2,Unknown,5,-24.367114,-68.730469,3,Chile
8539136,Tires & Wheels,Tires & Wheels,Loss,3,12,12,250000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
8539158,Motorcycle Parts,Performance & Non-auto,Loss,2,9,9,250000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
8539336,Towing & Hitches,Car Accessories,Loss,2,11,11,155,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
8539909,Exterior Accessories,Car Accessories,Loss,2,16,16,75000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
8540351,Motorcycle Parts,Performance & Non-auto,Won,1,0,0,7361,1,1,1,Unknown,1,-24.367114,-68.730469,3,Chile
8540576,Exterior Accessories,Car Accessories,Won,7,14,13,391768,1,1,4,Unknown,6,-24.367114,-68.730469,3,Chile
8543500,Shelters & RV,Performance & Non-auto,Loss,3,10,10,400000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
8543586,Garage & Car Care,Car Accessories,Loss,2,25,25,75000,1,1,4,Unknown,4,-24.367114,-68.730469,3,Chile
8547045,Interior Accessories,Car Accessories,Loss,2,10,10,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
8547057,Exterior Accessories,Car Accessories,Loss,2,2,2,55000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
8547082,Exterior Accessories,Car Accessories,Loss,6,8,8,15400,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
8547151,Exterior Accessories,Car Accessories,Won,4,1,1,2268,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
8547229,Towing & Hitches,Car Accessories,Loss,2,1,1,50000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
8548988,Replacement Parts,Car Accessories,Loss,2,1,0,25474,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
8549340,Batteries & Accessories,Car Accessories,Loss,2,14,14,110000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
8550414,Batteries & Accessories,Car Accessories,Loss,3,14,14,232522,1,1,0,None,5,-24.367114,-68.730469,3,Chile
8550859,Garage & Car Care,Car Accessories,Loss,2,6,6,10000,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
8551242,Interior Accessories,Car Accessories,Loss,2,9,9,20151,1,1,0,None,2,-24.367114,-68.730469,3,Chile
8551741,Towing & Hitches,Car Accessories,Loss,2,8,8,180000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
8552580,Interior Accessories,Car Accessories,Loss,2,1,1,480000,1,1,4,Unknown,6,-24.367114,-68.730469,3,Chile
8553185,Garage & Car Care,Car Accessories,Loss,2,13,13,15501,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
8553512,Shelters & RV,Performance & Non-auto,Loss,2,23,23,5000,1,1,0,None,1,-24.367114,-68.730469,3,Chile
8554635,Garage & Car Care,Car Accessories,Won,2,9,9,45000,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
8554643,Garage & Car Care,Car Accessories,Loss,2,9,9,45000,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
8554645,Motorcycle Parts,Performance & Non-auto,Loss,2,3,3,38753,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
8555195,Replacement Parts,Car Accessories,Won,4,10,10,9800,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
8557605,Interior Accessories,Car Accessories,Loss,2,10,10,78006,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9356585,Batteries & Accessories,Car Accessories,Won,2,8,8,30000,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9357378,Motorcycle Parts,Performance & Non-auto,Loss,3,19,19,50000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9357401,Interior Accessories,Car Accessories,Loss,3,1,0,120911,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9357793,Interior Accessories,Car Accessories,Loss,2,9,9,31002,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9359910,Interior Accessories,Car Accessories,Won,2,7,7,111610,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9359941,Performance Parts,Performance & Non-auto,Loss,3,8,8,310029,1,1,0,None,6,-24.367114,-68.730469,3,Chile
9360610,Interior Accessories,Car Accessories,Loss,2,5,5,150000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9362377,Motorcycle Parts,Performance & Non-auto,Won,4,26,26,27902,1,1,1,Unknown,3,-24.367114,-68.730469,3,Chile
9362474,Performance Parts,Performance & Non-auto,Loss,2,8,8,203069,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9363632,Interior Accessories,Car Accessories,Loss,3,6,6,150000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9363667,Interior Accessories,Car Accessories,Loss,3,9,9,310029,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9363936,Replacement Parts,Car Accessories,Loss,2,19,19,107000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9364601,Replacement Parts,Car Accessories,Loss,2,5,5,101000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9365308,Replacement Parts,Car Accessories,Loss,3,23,23,7750,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9367120,Exterior Accessories,Car Accessories,Loss,2,17,17,75000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9367471,Interior Accessories,Car Accessories,Loss,3,13,13,38753,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9367624,Motorcycle Parts,Performance & Non-auto,Loss,3,23,23,20000,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9368076,Motorcycle Parts,Performance & Non-auto,Won,2,5,5,93008,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9368654,Exterior Accessories,Car Accessories,Loss,2,15,15,155014,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9369006,Garage & Car Care,Car Accessories,Loss,2,2,2,70000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9369481,Interior Accessories,Car Accessories,Won,3,12,12,382886,1,1,3,Unknown,6,-24.367114,-68.730469,3,Chile
9370778,Shelters & RV,Performance & Non-auto,Loss,3,6,6,0,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9371883,Batteries & Accessories,Car Accessories,Loss,2,6,6,1083,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9372402,Garage & Car Care,Car Accessories,Loss,2,7,7,15000,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9372696,Replacement Parts,Car Accessories,Loss,2,10,10,10000,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9373333,Motorcycle Parts,Performance & Non-auto,Loss,2,2,2,2500,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9374549,Interior Accessories,Car Accessories,Won,2,1,1,1737,1,1,1,None,1,-24.367114,-68.730469,3,Chile
9375413,Interior Accessories,Car Accessories,Won,1,0,0,155014,1,1,2,Unknown,5,-24.367114,-68.730469,3,Chile
9375509,Motorcycle Parts,Performance & Non-auto,Won,5,24,19,108536,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9375748,Shelters & RV,Performance & Non-auto,Loss,3,8,8,93008,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9375926,Batteries & Accessories,Car Accessories,Loss,3,8,8,155014,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9376132,Replacement Parts,Car Accessories,Loss,3,9,9,5000,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9376381,Motorcycle Parts,Performance & Non-auto,Loss,2,0,0,2000,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9376722,Replacement Parts,Car Accessories,Loss,3,1,1,30000,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9376762,Interior Accessories,Car Accessories,Loss,2,2,2,10000,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9377414,Batteries & Accessories,Car Accessories,Won,3,3,1,22000,1,1,0,None,2,-24.367114,-68.730469,3,Chile
9380891,Motorcycle Parts,Performance & Non-auto,Loss,2,0,0,0,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9381619,Garage & Car Care,Car Accessories,Loss,2,12,12,15501,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9382183,Shelters & RV,Performance & Non-auto,Loss,2,19,19,0,1,1,0,Known,1,-24.367114,-68.730469,3,Chile
9383435,Exterior Accessories,Car Accessories,Won,1,0,0,6696,1,1,3,Unknown,1,-24.367114,-68.730469,3,Chile
9383592,Shelters & RV,Performance & Non-auto,Won,2,0,0,13951,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9384109,Interior Accessories,Car Accessories,Loss,3,11,11,73476,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9384187,Replacement Parts,Car Accessories,Loss,3,18,18,84000,1,1,3,Unknown,4,-24.367114,-68.730469,3,Chile
9384577,Garage & Car Care,Car Accessories,Loss,3,17,17,3100,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9385033,Interior Accessories,Car Accessories,Loss,2,0,0,100000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9385106,Replacement Parts,Car Accessories,Loss,2,0,0,200000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9385236,Motorcycle Parts,Performance & Non-auto,Loss,2,7,7,3000,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9387109,Batteries & Accessories,Car Accessories,Won,2,5,5,51154,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9387327,Exterior Accessories,Car Accessories,Won,2,2,2,7098,1,1,2,Unknown,1,-24.367114,-68.730469,3,Chile
9387764,Replacement Parts,Car Accessories,Won,2,2,0,1500,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9388202,Replacement Parts,Car Accessories,Loss,3,1,1,2000,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9388537,Motorcycle Parts,Performance & Non-auto,Loss,3,9,9,60000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9389093,Motorcycle Parts,Performance & Non-auto,Loss,2,0,0,0,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9389227,Shelters & RV,Performance & Non-auto,Loss,4,3,3,500000,1,1,0,None,7,-24.367114,-68.730469,3,Chile
9389866,Motorcycle Parts,Performance & Non-auto,Loss,3,6,6,110000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9390491,Towing & Hitches,Car Accessories,Loss,2,10,10,50375,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9390972,Motorcycle Parts,Performance & Non-auto,Loss,2,1,1,62005,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9391202,Batteries & Accessories,Car Accessories,Loss,2,16,16,17051,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9393104,Interior Accessories,Car Accessories,Loss,4,1,1,120010,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9393428,Motorcycle Parts,Performance & Non-auto,Loss,2,16,0,30000,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9393747,Motorcycle Parts,Performance & Non-auto,Loss,2,11,11,120000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9394266,Interior Accessories,Car Accessories,Loss,2,18,18,120000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9394338,Interior Accessories,Car Accessories,Loss,2,7,7,4198,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9394356,Motorcycle Parts,Performance & Non-auto,Won,1,0,0,29452,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9397020,Performance Parts,Performance & Non-auto,Loss,4,5,5,100000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9397781,Replacement Parts,Car Accessories,Loss,2,10,10,101000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9398209,Replacement Parts,Car Accessories,Loss,2,3,3,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9398210,Interior Accessories,Car Accessories,Won,3,4,4,8677,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9399434,Batteries & Accessories,Car Accessories,Won,1,0,0,31002,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9399506,Motorcycle Parts,Performance & Non-auto,Loss,4,18,18,50000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9399523,Motorcycle Parts,Performance & Non-auto,Loss,3,15,15,50000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9399543,Motorcycle Parts,Performance & Non-auto,Loss,4,18,18,50000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9399560,Motorcycle Parts,Performance & Non-auto,Loss,3,15,15,50000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9401784,Interior Accessories,Car Accessories,Loss,4,11,11,190000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9403533,Motorcycle Parts,Performance & Non-auto,Won,7,16,0,62005,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9403551,Shelters & RV,Performance & Non-auto,Won,1,0,0,18297,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9404478,Replacement Parts,Car Accessories,Loss,1,0,0,23252,1,1,3,Unknown,2,-24.367114,-68.730469,3,Chile
9404502,Motorcycle Parts,Performance & Non-auto,Loss,4,8,8,99000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9404615,Garage & Car Care,Car Accessories,Loss,3,9,9,100000,1,1,0,None,5,-24.367114,-68.730469,3,Chile
9405144,Replacement Parts,Car Accessories,Loss,4,18,18,20000,1,1,0,None,2,-24.367114,-68.730469,3,Chile
9405323,Replacement Parts,Car Accessories,Loss,2,18,18,7000,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9406157,Shelters & RV,Performance & Non-auto,Loss,2,15,15,0,1,1,4,Unknown,1,-24.367114,-68.730469,3,Chile
9406210,Motorcycle Parts,Performance & Non-auto,Loss,3,6,6,200000,1,1,0,None,5,-24.367114,-68.730469,3,Chile
9408041,Motorcycle Parts,Performance & Non-auto,Loss,3,17,17,50000,1,1,0,None,4,-24.367114,-68.730469,3,Chile
9408439,Replacement Parts,Car Accessories,Loss,7,15,15,30000,1,1,0,None,3,-24.367114,-68.730469,3,Chile
9408484,Interior Accessories,Car Accessories,Loss,3,20,20,620058,1,1,0,Unknown,7,-24.367114,-68.730469,3,Chile
9408878,Garage & Car Care,Car Accessories,Loss,3,2,2,500,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9409649,Garage & Car Care,Car Accessories,Loss,1,0,0,193768,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9409819,Exterior Accessories,Car Accessories,Won,1,0,0,15501,1,1,4,Unknown,2,-24.367114,-68.730469,3,Chile
9410109,Exterior Accessories,Car Accessories,Won,2,7,7,15501,1,1,1,Unknown,2,-24.367114,-68.730469,3,Chile
9410109,Exterior Accessories,Car Accessories,Won,2,7,7,8952,1,1,1,Unknown,1,-24.367114,-68.730469,3,Chile
9410761,Replacement Parts,Car Accessories,Loss,2,2,2,432000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9410845,Shelters & RV,Performance & Non-auto,Loss,2,9,9,46504,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9411319,Motorcycle Parts,Performance & Non-auto,Loss,3,17,17,80000,1,1,0,None,4,-24.367114,-68.730469,3,Chile
9411471,Exterior Accessories,Car Accessories,Loss,2,2,2,155510,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9413691,Car Electronics,Car Electronics,Loss,2,7,7,300000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9414896,Interior Accessories,Car Accessories,Loss,2,5,5,290000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9417178,Motorcycle Parts,Performance & Non-auto,Loss,4,19,19,250000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9417319,Motorcycle Parts,Performance & Non-auto,Loss,4,6,6,0,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9418003,Replacement Parts,Car Accessories,Loss,4,6,6,20000,1,1,0,None,2,-24.367114,-68.730469,3,Chile
9418309,Exterior Accessories,Car Accessories,Won,1,0,0,232522,1,1,2,Unknown,5,-24.367114,-68.730469,3,Chile
9418980,Interior Accessories,Car Accessories,Loss,2,17,17,200000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9419357,Motorcycle Parts,Performance & Non-auto,Loss,2,10,10,2000,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9419407,Exterior Accessories,Car Accessories,Loss,2,8,8,50000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9419534,Batteries & Accessories,Car Accessories,Loss,3,10,10,80000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9422118,Exterior Accessories,Car Accessories,Loss,3,15,15,18859,1,1,0,None,2,-24.367114,-68.730469,3,Chile
9422514,Motorcycle Parts,Performance & Non-auto,Won,2,3,3,1153,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9422518,Replacement Parts,Car Accessories,Loss,3,1,1,156550,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9422696,Interior Accessories,Car Accessories,Loss,2,0,0,50000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9422717,Shelters & RV,Performance & Non-auto,Loss,2,1,1,279,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9422949,Garage & Car Care,Car Accessories,Loss,3,10,10,108,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9425859,Batteries & Accessories,Car Accessories,Loss,3,20,20,275000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9426168,Motorcycle Parts,Performance & Non-auto,Won,4,10,9,85258,1,1,4,Unknown,4,-24.367114,-68.730469,3,Chile
9426668,Interior Accessories,Car Accessories,Loss,4,15,15,6200,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9426684,Exterior Accessories,Car Accessories,Loss,3,17,17,27502,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9426698,Motorcycle Parts,Performance & Non-auto,Loss,2,0,0,232522,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9426712,Garage & Car Care,Car Accessories,Loss,2,6,6,23252,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9426750,Garage & Car Care,Car Accessories,Won,2,4,4,1200,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9426779,Interior Accessories,Car Accessories,Won,2,1,1,9300,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9428053,Motorcycle Parts,Performance & Non-auto,Loss,2,0,0,193768,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9428066,Motorcycle Parts,Performance & Non-auto,Won,8,13,13,62005,1,1,4,Unknown,4,-24.367114,-68.730469,3,Chile
9428100,Interior Accessories,Car Accessories,Loss,3,16,16,418539,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9429357,Garage & Car Care,Car Accessories,Loss,2,16,16,150013,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9429502,Batteries & Accessories,Car Accessories,Won,6,10,10,341032,1,1,4,Unknown,6,-24.367114,-68.730469,3,Chile
9430202,Motorcycle Parts,Performance & Non-auto,Loss,2,5,5,100000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9430238,Replacement Parts,Car Accessories,Loss,3,6,6,100000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9430330,Exterior Accessories,Car Accessories,Loss,2,11,11,150000,1,1,0,None,5,-24.367114,-68.730469,3,Chile
9430401,Batteries & Accessories,Car Accessories,Loss,2,9,9,100000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9430579,Garage & Car Care,Car Accessories,Loss,3,12,12,30000,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9430951,Shelters & RV,Performance & Non-auto,Loss,2,9,9,232522,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9432449,Motorcycle Parts,Performance & Non-auto,Won,3,2,2,3659,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9433472,Batteries & Accessories,Car Accessories,Loss,2,2,2,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9433675,Motorcycle Parts,Performance & Non-auto,Loss,2,2,2,5000,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9434114,Interior Accessories,Car Accessories,Won,5,2,2,10851,1,1,0,None,2,-24.367114,-68.730469,3,Chile
9434205,Exterior Accessories,Car Accessories,Loss,2,0,0,50000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9434292,Towing & Hitches,Car Accessories,Won,4,4,1,13858,1,1,0,Known,2,-24.367114,-68.730469,3,Chile
9436281,Batteries & Accessories,Car Accessories,Won,5,2,0,31002,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9436818,Batteries & Accessories,Car Accessories,Won,2,3,3,21758,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9438220,Exterior Accessories,Car Accessories,Loss,3,23,23,387536,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9440991,Batteries & Accessories,Car Accessories,Loss,3,21,21,310029,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9441315,Towing & Hitches,Car Accessories,Won,4,3,2,130000,1,1,4,Unknown,5,-24.367114,-68.730469,3,Chile
9441442,Batteries & Accessories,Car Accessories,Loss,2,16,16,100000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9441520,Shelters & RV,Performance & Non-auto,Loss,4,11,11,250000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9441597,Batteries & Accessories,Car Accessories,Loss,2,20,20,100000,1,1,4,Unknown,5,-24.367114,-68.730469,3,Chile
9441824,Batteries & Accessories,Car Accessories,Won,2,1,1,17051,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9443944,Garage & Car Care,Car Accessories,Loss,2,10,10,10000,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9444386,Performance Parts,Performance & Non-auto,Won,4,4,3,50004,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9445257,Motorcycle Parts,Performance & Non-auto,Won,2,3,3,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9445558,Shelters & RV,Performance & Non-auto,Loss,3,16,16,101000,1,1,0,None,5,-24.367114,-68.730469,3,Chile
9446512,Replacement Parts,Car Accessories,Loss,2,0,0,10000,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9446535,Exterior Accessories,Car Accessories,Loss,2,7,7,20000,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9447174,Batteries & Accessories,Car Accessories,Loss,2,16,16,500000,1,1,0,Unknown,7,-24.367114,-68.730469,3,Chile
9448183,Motorcycle Parts,Performance & Non-auto,Loss,2,11,11,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9448187,Motorcycle Parts,Performance & Non-auto,Loss,2,11,11,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9448258,Motorcycle Parts,Performance & Non-auto,Loss,2,11,11,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9448273,Motorcycle Parts,Performance & Non-auto,Loss,2,11,11,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9448337,Motorcycle Parts,Performance & Non-auto,Loss,2,11,11,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9448337,Motorcycle Parts,Performance & Non-auto,Loss,2,11,11,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9448557,Performance Parts,Performance & Non-auto,Loss,2,1,1,500000,1,1,0,Unknown,7,-24.367114,-68.730469,3,Chile
9448725,Exterior Accessories,Car Accessories,Loss,2,0,0,60000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9449498,Batteries & Accessories,Car Accessories,Loss,2,16,16,31002,1,1,0,None,3,-24.367114,-68.730469,3,Chile
9449638,Garage & Car Care,Car Accessories,Won,2,4,4,38753,1,1,2,Unknown,3,-24.367114,-68.730469,3,Chile
9451901,Replacement Parts,Car Accessories,Won,5,6,3,145000,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9453307,Shelters & RV,Performance & Non-auto,Loss,3,6,6,500000,1,1,0,Unknown,7,-24.367114,-68.730469,3,Chile
9453401,Motorcycle Parts,Performance & Non-auto,Loss,2,20,0,46504,1,1,0,Unknown,3,-24.367114,-68.730469,3,Chile
9453767,Motorcycle Parts,Performance & Non-auto,Loss,1,0,0,65000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9453828,Garage & Car Care,Car Accessories,Loss,2,0,0,40303,1,1,2,Unknown,3,-24.367114,-68.730469,3,Chile
9453868,Shelters & RV,Performance & Non-auto,Loss,3,18,18,250000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9453966,Interior Accessories,Car Accessories,Loss,4,4,4,1000000,1,1,0,Unknown,7,-24.367114,-68.730469,3,Chile
9456937,Shelters & RV,Performance & Non-auto,Loss,2,11,11,155014,1,1,0,Unknown,5,-24.367114,-68.730469,3,Chile
9457438,Replacement Parts,Car Accessories,Loss,3,16,16,100000,1,1,0,None,5,-24.367114,-68.730469,3,Chile
9457466,Batteries & Accessories,Car Accessories,Loss,3,6,6,80000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9457547,Motorcycle Parts,Performance & Non-auto,Loss,2,9,9,90000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9458142,Motorcycle Parts,Performance & Non-auto,Won,1,0,0,75430,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9460022,Towing & Hitches,Car Accessories,Loss,3,6,6,0,1,1,0,Unknown,1,-24.367114,-68.730469,3,Chile
9460969,Garage & Car Care,Car Accessories,Loss,2,17,17,7750,1,1,0,None,1,-24.367114,-68.730469,3,Chile
9461818,Garage & Car Care,Car Accessories,Loss,2,15,15,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9461834,Tires & Wheels,Tires & Wheels,Loss,3,16,16,15501,1,1,0,Unknown,2,-24.367114,-68.730469,3,Chile
9462011,Interior Accessories,Car Accessories,Loss,2,3,3,77507,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
9462697,Interior Accessories,Car Accessories,Loss,2,20,20,300000,1,1,0,Unknown,6,-24.367114,-68.730469,3,Chile
9462794,Batteries & Accessories,Car Accessories,Loss,2,15,15,90000,1,1,0,Unknown,4,-24.367114,-68.730469,3,Chile
